respondent,bususefrequency,age,gender,bicycleuse,bikeuse,caruse,bususe,walking,BT1,BT2,BT3,BT4,BT5,BT6,BT7,BD1,BD2,BD3,BD4,BCM1,BCM2,BCM3,BCM4,BTER1,BTER2,BTER3,BTER4,BTER5,EMP1,EMP2,EMP3,EMP4,EMP5,CS1,CS2,CS3,PV1,PV2,PV3,WOM1,WOM2,WOM3,EP1,EP2,EP3,EP4,SQcomparison,LS1,LS2,LS3,LS4,LS5,weather
216,4,30,1,1,1,1,4,4,2,5,6,5,4,3,7,5,7,6,4,7,6,4,5,6,2,1,3,7,5,6,1,4,4,6,6,6,7,7,7,6,7,6,7,7,7,7,3,5,5,6,4,3,January
217,4,24,0,3,1,4,5,3,5,4,4,6,3,5,6,6,6,6,4,3,1,1,3,4,6,1,3,1,1,2,3,3,3,4,4,4,4,4,4,4,2,2,4,3,4,4,2,3,5,5,5,5,January
218,1,20,1,1,1,5,2,1,6,6,4,5,5,6,7,4,6,3,6,6,4,5,5,4,4,4,6,3,5,5,2,4,3,4,4,4,3,4,2,3,3,5,7,7,7,7,3,6,6,6,6,6,January
219,1,19,1,1,1,1,2,5,5,6,5,4,4,3,4,6,6,6,6,4,3,5,3,5,6,7,6,4,4,4,4,4,4,5,5,5,4,4,5,4,4,4,5,5,5,5,2,6,5,5,3,4,January
220,4,22,0,4,1,1,4,4,4,4,2,4,5,4,4,1,2,2,3,7,5,4,4,4,7,6,7,7,4,6,2,4,4,5,5,4,5,5,3,5,5,5,4,4,4,4,2,5,5,6,6,3,January
221,4,21,1,1,1,1,5,5,6,6,5,4,4,6,6,5,6,5,5,6,4,5,4,5,6,2,5,3,4,5,4,4,6,4,4,5,5,5,5,5,5,5,5,5,5,5,3,6,6,6,5,4,January
222,1,20,0,5,1,1,1,5,7,7,7,7,7,7,7,7,7,7,7,7,5,7,5,4,7,4,6,3,5,7,7,7,7,5,5,6,7,7,5,7,7,1,7,7,7,7,3,7,3,4,1,1,January
223,4,19,1,1,1,3,3,3,4,4,2,3,4,5,5,5,6,5,5,7,5,5,5,4,6,3,3,5,4,5,5,5,6,5,5,3,4,5,2,3,5,4,6,5,3,5,2,5,5,5,5,4,January
224,1,21,0,1,1,2,2,5,6,5,6,4,6,5,6,6,7,7,5,7,4,4,4,5,7,5,6,7,6,4,4,4,6,4,4,4,5,6,5,5,3,3,5,5,5,5,2,5,6,6,6,6,January
225,1,32,1,1,1,5,3,1,4,1,2,2,2,1,1,1,3,2,2,4,2,3,2,1,1,1,3,2,4,4,5,3,4,2,1,1,1,1,1,1,1,1,7,6,3,7,1,4,4,4,4,4,January
226,1,21,1,1,1,1,2,5,4,6,4,5,5,6,5,5,6,6,5,5,4,3,3,5,5,2,5,6,5,4,3,5,5,5,6,6,2,2,3,4,4,4,3,4,4,4,2,5,6,6,4,4,January
227,4,22,0,3,1,3,5,5,4,4,3,3,5,4,5,2,5,4,5,2,3,4,3,4,2,2,4,4,2,2,2,1,1,2,2,2,4,3,7,3,3,3,5,5,4,4,3,4,6,6,4,5,January
228,2,20,0,1,1,1,2,5,6,6,6,6,6,6,6,6,6,4,5,7,5,4,5,6,6,4,5,6,5,6,6,5,6,4,4,4,5,5,5,4,4,4,6,6,6,6,2,6,6,6,6,6,January
